model,standard,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Llama 3.1 8b,MS-ESS1-1,78,0.7308,0.6232,0.8166,0.7255,0.0,0.0942
Llama 3.1 8b,MS-ESS1-2,66,0.697,0.5778,0.7945,0.7667,0.0,0.0429
Llama 3.1 8b,MS-ESS1-3,87,0.5977,0.4926,0.6945,0.6825,0.0,0.0163
Llama 3.1 8b,MS-ESS1-4,57,0.7193,0.5917,0.8192,0.8472,0.0,0.0656
Llama 3.1 8b,MS-ESS2-1,48,0.6667,0.5254,0.7832,0.7727,0.0,0.1179
Llama 3.1 8b,MS-ESS2-2,60,0.8,0.6822,0.8817,0.8833,0.0,0.0408
Llama 3.1 8b,MS-ESS2-3,39,0.7436,0.5892,0.8543,0.8333,0.0,0.1307
Llama 3.1 8b,MS-ESS2-4,54,0.8519,0.734,0.923,0.9242,0.0,0.0262
Llama 3.1 8b,MS-ESS2-5,45,0.7778,0.6373,0.8746,0.875,0.0,0.0629
Llama 3.1 8b,MS-ESS2-6,36,0.6667,0.5033,0.7979,0.6852,0.0,0.068
Llama 3.1 8b,MS-ESS3-1,75,0.88,0.7874,0.9356,0.9048,0.0,0.0653
Llama 3.1 8b,MS-ESS3-2,69,0.8406,0.7367,0.9086,0.8922,0.0,0.0542
Llama 3.1 8b,MS-ESS3-3,45,0.9556,0.8517,0.9877,0.9444,0.0,0.0314
Llama 3.1 8b,MS-ESS3-4,45,0.8889,0.765,0.9516,0.8939,0.0,0.0314
Llama 3.1 8b,MS-ESS3-5,39,0.8718,0.7329,0.944,0.9091,0.0,0.0725
Llama 3.1 8b,MS-ETS1-1,84,0.9643,0.9002,0.9878,0.9733,0.0,0.0
Llama 3.1 8b,MS-ETS1-2,54,1.0,0.9336,1.0,1.0,0.0,0.0
Llama 3.1 8b,MS-ETS1-3,57,0.9474,0.8563,0.9819,0.9583,0.0,0.043
Llama 3.1 8b,MS-ETS1-4,69,0.971,0.9003,0.992,0.9804,0.0,0.041
Llama 3.1 8b,MS-LS1-1,39,0.6923,0.5358,0.8143,0.803,0.0,0.0628
Llama 3.1 8b,MS-LS1-2,27,0.8519,0.6752,0.9408,0.9722,0.0,0.0524
Llama 3.1 8b,MS-LS1-3,54,0.9074,0.8009,0.9598,0.881,0.0,0.0262
Llama 3.1 8b,MS-LS1-4,36,0.9167,0.7817,0.9713,0.9333,0.0,0.068
Llama 3.1 8b,MS-LS1-5,30,1.0,0.8865,1.0,1.0,0.0,0.0
Llama 3.1 8b,MS-LS1-6,24,0.6667,0.4671,0.8203,0.8611,0.0,0.0589
Llama 3.1 8b,MS-LS1-7,30,0.7,0.5212,0.8334,0.8958,0.0,0.0
Llama 3.1 8b,MS-LS1-8,27,0.8889,0.7194,0.9615,0.9167,0.0,0.0907
Llama 3.1 8b,MS-LS2-1,72,0.9306,0.8475,0.97,0.9583,0.0,0.0393
Llama 3.1 8b,MS-LS2-2,51,0.8431,0.7199,0.9183,0.869,0.0,0.1109
Llama 3.1 8b,MS-LS2-3,99,0.8283,0.7421,0.8899,0.8333,0.0,0.0143
Llama 3.1 8b,MS-LS2-4,42,0.881,0.75,0.9481,0.9028,0.0,0.0337
Llama 3.1 8b,MS-LS2-5,24,0.9583,0.7976,0.9926,1.0,0.0,0.0589
Llama 3.1 8b,MS-LS3-1,144,0.9236,0.8684,0.9568,0.9333,0.0,0.0098
Llama 3.1 8b,MS-LS3-2,111,0.7928,0.7082,0.8578,0.8506,0.0,0.0337
Llama 3.1 8b,MS-LS4-1,81,0.8025,0.703,0.8746,0.8933,0.0,0.0349
Llama 3.1 8b,MS-LS4-2,75,0.7733,0.6666,0.8534,0.9,0.0,0.068
Llama 3.1 8b,MS-LS4-3,36,0.5,0.3447,0.6553,0.75,0.0,0.068
Llama 3.1 8b,MS-LS4-4,27,0.8889,0.7194,0.9615,0.9286,0.0,0.0
Llama 3.1 8b,MS-LS4-5,15,0.7333,0.4805,0.891,0.7778,0.0,0.0943
Llama 3.1 8b,MS-LS4-6,33,0.9697,0.8468,0.9946,0.9444,0.0,0.0429
Llama 3.1 8b,MS-PS1-1,81,0.7901,0.6893,0.8646,0.8681,0.0,0.0462
Llama 3.1 8b,MS-PS1-2,21,0.5238,0.3237,0.7166,0.8333,0.0,0.1347
Llama 3.1 8b,MS-PS1-3,39,0.7179,0.5622,0.8346,0.7333,0.0,0.0363
Llama 3.1 8b,MS-PS1-4,51,0.7451,0.6113,0.8445,0.8095,0.0,0.0555
Llama 3.1 8b,MS-PS1-5,39,0.5897,0.4342,0.7292,0.7424,0.0,0.0363
Llama 3.1 8b,MS-PS1-6,30,0.4333,0.2738,0.608,0.4792,0.0,0.1247
Llama 3.1 8b,MS-PS2-1,60,0.5833,0.4573,0.6994,0.6471,0.0,0.0471
Llama 3.1 8b,MS-PS2-2,54,0.8519,0.734,0.923,0.8452,0.0,0.0693
Llama 3.1 8b,MS-PS2-3,72,0.7917,0.6843,0.8695,0.7821,0.0,0.0589
Llama 3.1 8b,MS-PS2-4,42,0.6905,0.5397,0.8093,0.7292,0.0,0.1468
Llama 3.1 8b,MS-PS2-5,45,0.7111,0.5663,0.8227,0.7333,0.0,0.0314
Llama 3.1 8b,MS-PS3-1,57,0.7719,0.6479,0.8616,0.7738,0.0,0.0248
Llama 3.1 8b,MS-PS3-2,54,0.8333,0.7126,0.9098,0.9,0.0,0.0786
Llama 3.1 8b,MS-PS3-3,66,0.7121,0.5936,0.8073,0.8846,0.0,0.0429
Llama 3.1 8b,MS-PS3-4,33,0.6061,0.4368,0.7532,0.6833,0.0,0.1134
Llama 3.1 8b,MS-PS3-5,42,0.7619,0.6147,0.8652,0.8667,0.0,0.1214
Llama 3.1 8b,MS-PS4-1,78,0.8205,0.721,0.89,0.8917,0.0,0.0363
Llama 3.1 8b,MS-PS4-2,99,0.6768,0.5795,0.7608,0.7391,0.0,0.0714
Llama 3.1 8b,MS-PS4-3,87,0.8621,0.7742,0.9193,0.8958,0.0,0.0488
Llama 3.3 70b,MS-ESS1-1,78,0.9487,0.8754,0.9799,0.9608,0.0,0.0181
Llama 3.3 70b,MS-ESS1-2,66,0.8939,0.7969,0.9477,0.9222,0.0,0.0214
Llama 3.3 70b,MS-ESS1-3,87,0.8966,0.815,0.9446,0.9127,0.0,0.0488
Llama 3.3 70b,MS-ESS1-4,57,0.9649,0.8808,0.9903,0.9444,0.0,0.0248
Llama 3.3 70b,MS-ESS2-1,48,0.8958,0.7783,0.9547,0.9394,0.0,0.0295
Llama 3.3 70b,MS-ESS2-2,60,0.9667,0.8864,0.9908,1.0,0.0,0.0236
Llama 3.3 70b,MS-ESS2-3,39,0.9231,0.7968,0.9735,0.9833,0.0,0.0
