model,area,question_type,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
Granite 3.3 Instruct,MS-ESS3,recall,78,0.8974,0.8105,0.9471,,0.0,0.0181
Granite 3.3 Instruct,MS-ETS1,applied,93,0.9032,0.8262,0.9482,0.9355,0.0,0.0
Granite 3.3 Instruct,MS-ETS1,conceptual,96,0.9479,0.8838,0.9776,0.9688,0.0,0.039
Granite 3.3 Instruct,MS-ETS1,recall,75,0.9867,0.9283,0.9976,,0.0,0.0189
Granite 3.3 Instruct,MS-LS1,applied,87,0.8391,0.7478,0.9017,0.8908,0.0,0.043
Granite 3.3 Instruct,MS-LS1,conceptual,93,0.8817,0.8005,0.9327,0.9247,0.0,0.0548
Granite 3.3 Instruct,MS-LS1,recall,87,0.8851,0.8012,0.9364,,0.0,0.0163
Granite 3.3 Instruct,MS-LS2,applied,99,0.9394,0.874,0.9719,0.9545,0.0,0.0
Granite 3.3 Instruct,MS-LS2,conceptual,96,0.875,0.7941,0.927,0.9167,0.0,0.0255
Granite 3.3 Instruct,MS-LS2,recall,93,0.871,0.7879,0.9246,,0.0,0.0527
Granite 3.3 Instruct,MS-LS3,applied,90,0.8222,0.7306,0.8875,0.8944,0.0,0.0416
Granite 3.3 Instruct,MS-LS3,conceptual,87,0.8621,0.7742,0.9193,0.9023,0.0,0.0563
Granite 3.3 Instruct,MS-LS3,recall,78,0.8846,0.795,0.9381,,0.0,0.0314
Granite 3.3 Instruct,MS-LS4,applied,87,0.8966,0.815,0.9446,0.931,0.0,0.0282
Granite 3.3 Instruct,MS-LS4,conceptual,99,0.8384,0.7535,0.898,0.9091,0.0,0.0378
Granite 3.3 Instruct,MS-LS4,recall,81,0.7901,0.6893,0.8646,,0.0,0.0349
Granite 3.3 Instruct,MS-PS1,applied,93,0.6774,0.577,0.7638,0.7849,0.0,0.095
Granite 3.3 Instruct,MS-PS1,conceptual,99,0.6667,0.5691,0.7518,0.7929,0.0,0.0857
Granite 3.3 Instruct,MS-PS1,recall,69,0.8406,0.7367,0.9086,,0.0,0.0542
Granite 3.3 Instruct,MS-PS2,applied,93,0.5269,0.4264,0.6253,0.6505,0.0,0.0304
Granite 3.3 Instruct,MS-PS2,conceptual,93,0.8172,0.7266,0.8826,0.8978,0.0,0.0152
Granite 3.3 Instruct,MS-PS2,recall,87,0.908,0.8289,0.9527,,0.0,0.043
Granite 3.3 Instruct,MS-PS3,applied,96,0.7708,0.6773,0.8435,0.8229,0.0,0.0147
Granite 3.3 Instruct,MS-PS3,conceptual,90,0.7444,0.6456,0.8233,0.8556,0.0,0.0685
Granite 3.3 Instruct,MS-PS3,recall,66,0.8636,0.7607,0.9266,,0.0,0.0371
Granite 3.3 Instruct,MS-PS4,applied,93,0.7957,0.7028,0.8651,0.871,0.0,0.0548
Granite 3.3 Instruct,MS-PS4,conceptual,84,0.8452,0.753,0.9073,0.9167,0.0,0.0937
Granite 3.3 Instruct,MS-PS4,recall,87,0.9195,0.8431,0.9605,,0.0,0.0163
Llama 3.1 8b,MS-ESS1,applied,96,0.625,0.5251,0.7153,0.7188,0.0,0.0255
Llama 3.1 8b,MS-ESS1,conceptual,99,0.6364,0.5382,0.7244,0.7677,0.0,0.0
Llama 3.1 8b,MS-ESS1,recall,93,0.7849,0.691,0.8562,,0.0,0.0805
Llama 3.1 8b,MS-ESS2,applied,96,0.6771,0.5783,0.7622,0.8073,0.0,0.0589
Llama 3.1 8b,MS-ESS2,conceptual,93,0.7527,0.6562,0.8292,0.8602,0.0,0.0663
Llama 3.1 8b,MS-ESS2,recall,93,0.8495,0.763,0.9082,,0.0,0.0548
Llama 3.1 8b,MS-ESS3,applied,96,0.8229,0.7346,0.8864,0.8802,0.0,0.0589
Llama 3.1 8b,MS-ESS3,conceptual,99,0.899,0.824,0.9442,0.9343,0.0,0.0286
Llama 3.1 8b,MS-ESS3,recall,78,0.9359,0.8586,0.9723,,0.0,0.0654
Llama 3.1 8b,MS-ETS1,applied,93,0.9355,0.8663,0.9701,0.9624,0.0,0.0456
Llama 3.1 8b,MS-ETS1,conceptual,96,0.9792,0.9272,0.9943,0.9896,0.0,0.0147
Llama 3.1 8b,MS-ETS1,recall,75,1.0,0.9513,1.0,,0.0,0.0
Llama 3.1 8b,MS-LS1,applied,87,0.8391,0.7478,0.9017,0.9023,0.0,0.0325
Llama 3.1 8b,MS-LS1,conceptual,93,0.828,0.7387,0.8912,0.8978,0.0,0.0304
Llama 3.1 8b,MS-LS1,recall,87,0.8391,0.7478,0.9017,,0.0,0.0586
Llama 3.1 8b,MS-LS2,applied,99,0.8889,0.8119,0.9368,0.9242,0.0,0.0286
Llama 3.1 8b,MS-LS2,conceptual,96,0.8542,0.77,0.9111,0.8906,0.0,0.0147
Llama 3.1 8b,MS-LS2,recall,93,0.8817,0.8005,0.9327,,0.0,0.0402
Llama 3.1 8b,MS-LS3,applied,90,0.8889,0.8074,0.9385,0.9056,0.0,0.0314
Llama 3.1 8b,MS-LS3,conceptual,87,0.8046,0.7092,0.8743,0.8793,0.0,0.0163
Llama 3.1 8b,MS-LS3,recall,78,0.9103,0.8262,0.9558,,0.0,0.0181
Llama 3.1 8b,MS-LS4,applied,87,0.8046,0.7092,0.8743,0.8966,0.0,0.043
Llama 3.1 8b,MS-LS4,conceptual,99,0.7778,0.6864,0.8484,0.8788,0.0,0.0286
Llama 3.1 8b,MS-LS4,recall,81,0.7531,0.6492,0.8341,,0.0,0.0349
Llama 3.1 8b,MS-PS1,applied,93,0.6989,0.5993,0.7827,0.7903,0.0,0.0304
Llama 3.1 8b,MS-PS1,conceptual,99,0.6263,0.5279,0.7152,0.7576,0.0,0.0286
Llama 3.1 8b,MS-PS1,recall,69,0.7246,0.6095,0.8161,,0.0,0.0205
Llama 3.1 8b,MS-PS2,applied,93,0.6129,0.5113,0.7055,0.7473,0.0,0.0456
Llama 3.1 8b,MS-PS2,conceptual,93,0.6667,0.5659,0.7542,0.7419,0.0,0.0152
Llama 3.1 8b,MS-PS2,recall,87,0.9195,0.8431,0.9605,,0.0,0.0163
Llama 3.1 8b,MS-PS3,applied,96,0.8333,0.7463,0.8947,0.8698,0.0,0.0147
Llama 3.1 8b,MS-PS3,conceptual,90,0.6333,0.5302,0.7255,0.7833,0.0,0.072
Llama 3.1 8b,MS-PS3,recall,66,0.7727,0.6583,0.8571,,0.0,0.0643
Llama 3.1 8b,MS-PS4,applied,93,0.7204,0.6219,0.8015,0.8226,0.0,0.0304
Llama 3.1 8b,MS-PS4,conceptual,84,0.75,0.6479,0.8303,0.8452,0.0,0.0292
Llama 3.1 8b,MS-PS4,recall,87,0.8736,0.7876,0.9279,,0.0,0.0163
Llama 3.3 70b,MS-ESS1,applied,96,0.8958,0.8188,0.9424,0.9323,0.0,0.0531
Llama 3.3 70b,MS-ESS1,conceptual,99,0.899,0.824,0.9442,0.9343,0.0,0.0378
Llama 3.3 70b,MS-ESS1,recall,93,0.9785,0.9249,0.9941,,0.0,0.0152
Llama 3.3 70b,MS-ESS2,applied,96,0.9271,0.8571,0.9642,0.9635,0.0,0.0147
Llama 3.3 70b,MS-ESS2,conceptual,93,0.9247,0.8527,0.9631,0.9516,0.0,0.0152
Llama 3.3 70b,MS-ESS2,recall,93,0.8925,0.8133,0.9405,,0.0,0.0402
Llama 3.3 70b,MS-ESS3,applied,96,0.9583,0.8977,0.9837,0.9531,0.0,0.0147
Llama 3.3 70b,MS-ESS3,conceptual,99,0.9495,0.8872,0.9782,0.9596,0.0,0.0143
Llama 3.3 70b,MS-ESS3,recall,78,0.9359,0.8586,0.9723,,0.0,0.0181
Llama 3.3 70b,MS-ETS1,applied,93,0.9462,0.8803,0.9768,0.9731,0.0,0.0152
Llama 3.3 70b,MS-ETS1,conceptual,96,0.9896,0.9433,0.9982,0.9948,0.0,0.0147
Llama 3.3 70b,MS-ETS1,recall,75,0.9867,0.9283,0.9976,,0.0,0.0189
Llama 3.3 70b,MS-LS1,applied,87,0.977,0.92,0.9937,0.9713,0.0,0.0163
Llama 3.3 70b,MS-LS1,conceptual,93,0.9355,0.8663,0.9701,0.957,0.0,0.0263
Llama 3.3 70b,MS-LS1,recall,87,0.8966,0.815,0.9446,,0.0,0.0488
Llama 3.3 70b,MS-LS2,applied,99,1.0,0.9626,1.0,1.0,0.0,0.0
Llama 3.3 70b,MS-LS2,conceptual,96,0.9167,0.8441,0.9572,0.9531,0.0,0.0147
Llama 3.3 70b,MS-LS2,recall,93,0.9462,0.8803,0.9768,,0.0,0.0152
Llama 3.3 70b,MS-LS3,applied,90,0.9556,0.8912,0.9826,0.9722,0.0,0.0314
Llama 3.3 70b,MS-LS3,conceptual,87,0.954,0.8877,0.982,0.9655,0.0,0.0325
Llama 3.3 70b,MS-LS3,recall,78,0.9615,0.8929,0.9868,,0.0,0.0
Llama 3.3 70b,MS-LS4,applied,87,0.9885,0.9377,0.998,0.9943,0.0,0.0163
Llama 3.3 70b,MS-LS4,conceptual,99,0.9697,0.9147,0.9896,0.9747,0.0,0.0
Llama 3.3 70b,MS-LS4,recall,81,0.8889,0.8021,0.9404,,0.0,0.0302
Llama 3.3 70b,MS-PS1,applied,93,0.9032,0.8262,0.9482,0.9409,0.0,0.0456
Llama 3.3 70b,MS-PS1,conceptual,99,0.8485,0.765,0.906,0.9141,0.0,0.0429
Llama 3.3 70b,MS-PS1,recall,69,0.913,0.823,0.9595,,0.0,0.0615
Llama 3.3 70b,MS-PS2,applied,93,0.871,0.7879,0.9246,0.9086,0.0,0.0263
Llama 3.3 70b,MS-PS2,conceptual,93,0.8065,0.7147,0.8739,0.8817,0.0,0.0263
Llama 3.3 70b,MS-PS2,recall,87,1.0,0.9577,1.0,,0.0,0.0
Llama 3.3 70b,MS-PS3,applied,96,0.9479,0.8838,0.9776,0.9688,0.0,0.039
Llama 3.3 70b,MS-PS3,conceptual,90,0.8556,0.7684,0.9136,0.9056,0.0,0.0157
Llama 3.3 70b,MS-PS3,recall,66,0.9242,0.8346,0.9672,,0.0,0.0214
Llama 3.3 70b,MS-PS4,applied,93,0.914,0.8393,0.9558,0.9409,0.0,0.0304
Llama 3.3 70b,MS-PS4,conceptual,84,0.8333,0.7395,0.898,0.9107,0.0,0.0937
Llama 3.3 70b,MS-PS4,recall,87,1.0,0.9577,1.0,,0.0,0.0
