model,area,question_type,mean_fk_grade,mean_reading_ease,n,dist_from_band
Nemotron 3 Nano 30ba3,MS-ETS1,applied,7.29,71.88,93,0.0
Nemotron 3 Nano 30ba3,MS-ETS1,conceptual,7.65,66.6,96,0.0
Nemotron 3 Nano 30ba3,MS-ETS1,recall,7.43,67.7,75,0.0
Nemotron 3 Nano 30ba3,MS-LS1,applied,7.8,66.7,87,0.0
Nemotron 3 Nano 30ba3,MS-LS1,conceptual,7.89,66.4,93,0.0
Nemotron 3 Nano 30ba3,MS-LS1,recall,8.45,61.4,87,0.0
Nemotron 3 Nano 30ba3,MS-LS2,applied,7.6,67.36,99,0.0
Nemotron 3 Nano 30ba3,MS-LS2,conceptual,7.72,65.6,96,0.0
Nemotron 3 Nano 30ba3,MS-LS2,recall,9.4,55.83,93,0.4
Nemotron 3 Nano 30ba3,MS-LS3,applied,8.7,63.44,90,0.0
Nemotron 3 Nano 30ba3,MS-LS3,conceptual,8.02,65.94,87,0.0
Nemotron 3 Nano 30ba3,MS-LS3,recall,8.27,62.49,78,0.0
Nemotron 3 Nano 30ba3,MS-LS4,applied,8.24,65.56,87,0.0
Nemotron 3 Nano 30ba3,MS-LS4,conceptual,8.87,61.38,99,0.0
Nemotron 3 Nano 30ba3,MS-LS4,recall,9.21,58.23,81,0.21
Nemotron 3 Nano 30ba3,MS-PS1,applied,8.39,62.86,93,0.0
Nemotron 3 Nano 30ba3,MS-PS1,conceptual,8.37,63.29,99,0.0
Nemotron 3 Nano 30ba3,MS-PS1,recall,8.57,58.89,69,0.0
Nemotron 3 Nano 30ba3,MS-PS2,applied,6.81,73.4,93,0.0
Nemotron 3 Nano 30ba3,MS-PS2,conceptual,6.98,71.94,93,0.0
Nemotron 3 Nano 30ba3,MS-PS2,recall,6.95,71.37,87,0.0
Nemotron 3 Nano 30ba3,MS-PS3,applied,7.23,70.96,96,0.0
Nemotron 3 Nano 30ba3,MS-PS3,conceptual,7.04,72.22,90,0.0
Nemotron 3 Nano 30ba3,MS-PS3,recall,8.1,64.26,66,0.0
Nemotron 3 Nano 30ba3,MS-PS4,applied,7.41,70.28,93,0.0
Nemotron 3 Nano 30ba3,MS-PS4,conceptual,6.93,71.88,84,0.0
Nemotron 3 Nano 30ba3,MS-PS4,recall,7.81,65.87,87,0.0
OSS 120b,MS-ESS1,applied,7.47,71.09,96,0.0
OSS 120b,MS-ESS1,conceptual,7.32,71.97,99,0.0
OSS 120b,MS-ESS1,recall,7.2,70.59,93,0.0
OSS 120b,MS-ESS2,applied,7.69,69.29,96,0.0
OSS 120b,MS-ESS2,conceptual,7.62,68.84,93,0.0
OSS 120b,MS-ESS2,recall,8.33,63.94,93,0.0
OSS 120b,MS-ESS3,applied,8.43,65.51,96,0.0
OSS 120b,MS-ESS3,conceptual,7.94,66.56,99,0.0
OSS 120b,MS-ESS3,recall,8.94,60.23,78,0.0
OSS 120b,MS-ETS1,applied,7.49,71.49,93,0.0
OSS 120b,MS-ETS1,conceptual,7.79,66.91,96,0.0
OSS 120b,MS-ETS1,recall,7.46,67.49,75,0.0
OSS 120b,MS-LS1,applied,8.52,63.94,87,0.0
OSS 120b,MS-LS1,conceptual,8.26,64.92,93,0.0
OSS 120b,MS-LS1,recall,8.84,60.94,87,0.0
OSS 120b,MS-LS2,applied,7.61,68.08,99,0.0
OSS 120b,MS-LS2,conceptual,7.64,67.8,96,0.0
OSS 120b,MS-LS2,recall,9.37,56.69,93,0.37
OSS 120b,MS-LS3,applied,9.16,62.22,90,0.16
OSS 120b,MS-LS3,conceptual,8.26,65.28,87,0.0
OSS 120b,MS-LS3,recall,8.5,62.13,78,0.0
OSS 120b,MS-LS4,applied,8.74,63.82,87,0.0
OSS 120b,MS-LS4,conceptual,9.04,62.71,99,0.04
OSS 120b,MS-LS4,recall,9.14,60.14,81,0.14
OSS 120b,MS-PS1,applied,9.22,61.48,93,0.22
OSS 120b,MS-PS1,conceptual,8.45,63.36,99,0.0
OSS 120b,MS-PS1,recall,9.59,56.02,69,0.59
OSS 120b,MS-PS2,applied,7.79,70.58,93,0.0
OSS 120b,MS-PS2,conceptual,7.49,71.08,93,0.0
OSS 120b,MS-PS2,recall,7.42,71.47,87,0.0
OSS 120b,MS-PS3,applied,8.26,68.13,96,0.0
OSS 120b,MS-PS3,conceptual,7.43,71.54,90,0.0
OSS 120b,MS-PS3,recall,8.69,62.53,66,0.0
OSS 120b,MS-PS4,applied,8.23,67.18,93,0.0
OSS 120b,MS-PS4,conceptual,7.23,71.32,84,0.0
OSS 120b,MS-PS4,recall,8.09,65.38,87,0.0
OSS 20b,MS-ESS1,applied,6.94,74.02,96,0.0
OSS 20b,MS-ESS1,conceptual,6.9,73.93,99,0.0
OSS 20b,MS-ESS1,recall,7.07,71.08,93,0.0
OSS 20b,MS-ESS2,applied,7.17,72.43,96,0.0
OSS 20b,MS-ESS2,conceptual,7.1,71.65,93,0.0
OSS 20b,MS-ESS2,recall,7.66,67.37,93,0.0
OSS 20b,MS-ESS3,applied,7.64,70.05,96,0.0
OSS 20b,MS-ESS3,conceptual,7.49,69.85,99,0.0
OSS 20b,MS-ESS3,recall,8.47,62.24,78,0.0
OSS 20b,MS-ETS1,applied,7.22,73.81,93,0.0
OSS 20b,MS-ETS1,conceptual,7.45,69.13,96,0.0
OSS 20b,MS-ETS1,recall,7.22,69.07,75,0.0
OSS 20b,MS-LS1,applied,7.66,67.7,87,0.0
OSS 20b,MS-LS1,conceptual,7.67,68.52,93,0.0
OSS 20b,MS-LS1,recall,8.42,63.05,87,0.0
OSS 20b,MS-LS2,applied,7.29,70.96,99,0.0
OSS 20b,MS-LS2,conceptual,7.07,70.48,96,0.0
OSS 20b,MS-LS2,recall,8.57,60.84,93,0.0
OSS 20b,MS-LS3,applied,8.16,67.05,90,0.0
OSS 20b,MS-LS3,conceptual,7.81,68.14,87,0.0
OSS 20b,MS-LS3,recall,7.99,65.61,78,0.0
OSS 20b,MS-LS4,applied,8.23,67.42,87,0.0
OSS 20b,MS-LS4,conceptual,8.12,67.01,99,0.0
OSS 20b,MS-LS4,recall,8.45,63.73,81,0.0
OSS 20b,MS-PS1,applied,8.42,64.21,93,0.0
OSS 20b,MS-PS1,conceptual,8.23,64.49,99,0.0
OSS 20b,MS-PS1,recall,8.64,59.4,69,0.0
OSS 20b,MS-PS2,applied,7.26,73.24,93,0.0
OSS 20b,MS-PS2,conceptual,7.17,73.25,93,0.0
OSS 20b,MS-PS2,recall,7.1,72.3,87,0.0
OSS 20b,MS-PS3,applied,7.42,71.13,96,0.0
OSS 20b,MS-PS3,conceptual,7.06,73.29,90,0.0
OSS 20b,MS-PS3,recall,8.28,65.21,66,0.0
OSS 20b,MS-PS4,applied,7.86,69.07,93,0.0
OSS 20b,MS-PS4,conceptual,7.14,71.82,84,0.0
OSS 20b,MS-PS4,recall,7.74,67.23,87,0.0
