model,area,n,binary_accuracy,wilson_low,wilson_high,rubric_mean,refusal_rate,run_acc_std
OSS 120b,MS-LS2,288,0.9653,0.9373,0.981,0.9821,0.0,0.013
OSS 120b,MS-LS3,255,0.9961,0.9781,0.9993,0.9972,0.0,0.0055
OSS 120b,MS-LS4,267,0.9963,0.9791,0.9993,0.9973,0.0,0.0053
OSS 120b,MS-PS1,261,0.977,0.9508,0.9894,0.987,0.0,0.0094
OSS 120b,MS-PS2,273,0.956,0.9248,0.9747,0.9624,0.0,0.0155
OSS 120b,MS-PS3,252,0.9921,0.9715,0.9978,1.0,0.0,0.0056
OSS 120b,MS-PS4,264,0.9886,0.9671,0.9961,0.9944,0.0,0.0
OSS 20b,MS-ESS1,288,0.9306,0.8952,0.9546,0.941,0.0,0.0214
OSS 20b,MS-ESS2,282,0.9113,0.8724,0.9392,0.9312,0.0,0.005
OSS 20b,MS-ESS3,273,0.9487,0.9158,0.9692,0.9564,0.0,0.0187
OSS 20b,MS-ETS1,264,0.9962,0.9789,0.9993,0.9947,0.0,0.0054
OSS 20b,MS-LS1,267,0.9551,0.9231,0.9741,0.9806,0.0,0.0183
OSS 20b,MS-LS2,288,0.9618,0.9329,0.9785,0.9923,0.0,0.026
OSS 20b,MS-LS3,255,0.9608,0.9293,0.9786,0.9802,0.0,0.0147
OSS 20b,MS-LS4,267,0.8727,0.8273,0.9074,0.9194,0.0,0.0347
OSS 20b,MS-PS1,261,0.9387,0.9028,0.9619,0.9583,0.0,0.0054
OSS 20b,MS-PS2,273,0.8901,0.8475,0.9219,0.8952,0.0,0.0324
OSS 20b,MS-PS3,252,0.9643,0.9335,0.9811,0.9731,0.0,0.0168
OSS 20b,MS-PS4,264,0.9394,0.9038,0.9624,0.9576,0.0,0.0107
